,id,date_review_posted,review_title,review,verified_purchase,people_find_helpful,ratings,product_url,start,end,author,product_category
15,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"July 22, 2020",Bon rapport qualité prix,Des aventures captivantes très intéressant,yes,0,5.0,https://www.amazon.ca/TINTIN-T-08-SCEPTRE-DOTTOKAR-HERG%C3%89/dp/2203001844/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:11:35.471211,2020-09-14 03:11:41.743479,Le grand,Electronics
16,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"July 22, 2020",Bon rapport qualité prix,Très confortable et séchage rapide merci !,yes,0,5.0,https://www.amazon.ca/QRANSS-Bathing-Striped-Pockets-X-Large/dp/B075MZHP7C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:11:50.864271,2020-09-14 03:11:57.143371,Le grand,Electronics
17,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"July 10, 2020",Pour le prix elle sont imbattable,Je les porte présentement elle sont confortable !,yes,0,5.0,https://www.amazon.ca/Wrangler-Authentics-Classic-5-Pocket-Regular/dp/B074KHV2C5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:12:07.240438,2020-09-14 03:12:14.558753,Le grand,Electronics
18,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"July 10, 2020",Bien content de l utilisation !,Avec un jeans c est l idéal !,yes,0,5.0,https://www.amazon.ca/Tommy-Hilfiger-Reversible-Polished-Nickel/dp/B00EYATQV6/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:12:21.656316,2020-09-14 03:12:27.938407,Le grand,Electronics
19,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"July 10, 2020",Pour le prix il est bon,Je l ai branché sur ma tablette c est bien !,yes,0,5.0,https://www.amazon.ca/Bluetooth-Portable-Microphone-Waterproof-Handsfree/dp/B07NVF8DD4/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:12:37.045343,2020-09-14 03:12:44.405118,Le grand,Electronics
20,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"July 10, 2020",Et aussi bon pour tout les âges,Ça me garde l esprit jeune !,yes,0,5.0,https://www.amazon.ca/OB%C3%89LIX-COMPAGNIE-REN%C3%89-GOSCINNY/dp/2012101550/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:12:52.491661,2020-09-14 03:12:58.743095,Le grand,Electronics
21,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"March 3, 2020",Bon en tout temps et très pratique,Tout mes éléments informatique y font c est super,yes,0,5.0,https://www.amazon.ca/International-Carry-Rainproof-Backpack-laptop/dp/B00SF8KY8C/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:13:07.846588,2020-09-14 03:13:17.147422,Le grand,Electronics
22,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"March 3, 2020",Bon rapport qualité prix,Très confortable et chaud en tout temps,yes,0,5.0,https://www.amazon.ca/Hanes-Mens-Champion-Performance-White/dp/B075X6MC2H/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:13:25.241427,2020-09-14 03:13:33.544429,Le grand,Electronics
23,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"March 1, 2020",Un groupe avec de la classe,C est un incontournable de la musique rock on se tanne pas de l écouter,yes,0,5.0,https://www.amazon.ca/Greatest-Hits-Journey/dp/B000G7PNKO/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:13:42.658024,2020-09-14 03:13:51.960712,Le grand,Electronics
24,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"February 13, 2020",Pour le prix il est imbattable,Il est pratique et génial,yes,0,5.0,https://www.amazon.ca/Larousse-poche-2020-Collectif/dp/2035972752/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:14:00.053616,2020-09-14 03:14:09.338313,Le grand,Electronics
25,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"January 2, 2020",Très légère a porter cool !,Tuque chaude comme les froid d hiver au Minnesota,yes,0,5.0,https://www.amazon.ca/Minnesota-Vikings-Male-OTS-Black/dp/B07CH8VPCX/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:14:19.416388,2020-09-14 03:14:25.732956,Le grand,Electronics
26,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"December 26, 2019",On se trompe pas avec Logitech,Bien content de ma souris fonctionne bien,yes,0,5.0,https://www.amazon.ca/Logitech-Compact-Bluetooth-Mouse-910-004529/dp/B0148NPJ3W/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:14:35.857602,2020-09-14 03:14:43.170018,Le grand,Electronics
27,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"December 18, 2019",Très bon rapport qualité prix,Bon chandail couleur vivante merci,yes,0,5.0,https://www.amazon.ca/Hanes-EcoSmart-Fleece-Sweatshirt-Kelly/dp/B072K657GP/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:14:52.255060,2020-09-14 03:15:01.503042,Le grand,Electronics
28,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"December 18, 2019",Pour le prix c est imbattable,Très content de mon radio fonctionne bien merci,yes,0,5.0,https://www.amazon.ca/Emerson-SmartSet-Dimmer-Display-CKS1900/dp/B07FTHL5PF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:15:09.595248,2020-09-14 03:15:18.886107,Le grand,Electronics
29,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"December 18, 2019",Du classique de qualité,Elle fut très contente de la musique merci,yes,0,5.0,https://www.amazon.ca/Ludovico-Einaudi-Portrait-Ang%C3%A8le-Dubeau/dp/B00S2XHDHU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:15:26.996060,2020-09-14 03:15:34.288071,Le grand,Electronics
30,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"December 18, 2019",Bon rapport qualité prix cool !,Bien content de l achat pantoufle très confortable merci !,yes,0,5.0,https://www.amazon.ca/Isotoner-Corduroy-Infused-Moccasin-9-5-10-5/dp/B01IP7RRKU/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:15:42.375277,2020-09-14 03:15:50.656239,Le grand,Electronics
31,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"December 5, 2019",A prix modique c est super,Très content de mes petit gilet ils sont très utiles merci,yes,0,5.0,https://www.amazon.ca/Gildan-Mens-T-Shirt-White-X-Large/dp/B077ZL5935/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:15:58.751200,2020-09-14 03:16:06.025257,Le grand,Electronics
32,AFZB4DKIMOXC5FAKTOFW3EJBJZTA,"December 5, 2019",Encore la bon rapport qualité prix,Je suis très content de mes bas polaire très confortable et chaud pour les froid d hiver merci,yes,0,5.0,https://www.amazon.ca/YUEDGE-Wicking-Cushion-Outdoor-Athletic/dp/B07K76WPNN/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-14 03:16:15.122091,2020-09-14 03:16:23.477289,Le grand,Electronics
