,author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id
0,AFBNCWG5WQJV6W7WIYR25Y6UFZSA,True,Very nice jacket,Great jacket first order fit small no problem with exhange and ordered next size. It arrived quickly.,"February 13, 2019",beartalker67,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFBNCWG5WQJV6W7WIYR25Y6UFZSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:33:24.303897,2020-09-20 21:33:24.428823,ALPHA INDUSTRIES mens Cwu Pilot X Flight Jacket Jacket,Alpha Industries,"283,833",B002G9UDYG
1,AF7CQ5X7HCSBCK4QYEP2JWIK54YQ,True,i love alpha,"I love alpha product and till now I bought more than 25 of them
thx amazon for good sevice","December 28, 2017",paya,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AF7CQ5X7HCSBCK4QYEP2JWIK54YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:33:24.433704,2020-09-20 21:33:24.556681,ALPHA INDUSTRIES mens Cwu Pilot X Flight Jacket Jacket,Alpha Industries,"283,833",B002G9UDYG
2,AHKYQB2Q25PEX2EW6AOLDY7BE6HQ,True,Outstanding!,outstanding quality!! very nice jacket overall.... i always get lots compliments...love it!,"October 23, 2017",Jose S,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHKYQB2Q25PEX2EW6AOLDY7BE6HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:33:24.562536,2020-09-20 21:33:24.696247,ALPHA INDUSTRIES mens Cwu Pilot X Flight Jacket Jacket,Alpha Industries,"283,833",B002G9UDYG
3,AFEBMUV6362KKWKTVVJSFAROZXTA,True,Five Stars,xxl not too big but good price. but xxxl much better for me but too expensive.,"November 16, 2017",Amazon Customer,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFEBMUV6362KKWKTVVJSFAROZXTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:33:24.701127,2020-09-20 21:33:24.823127,ALPHA INDUSTRIES mens Cwu Pilot X Flight Jacket Jacket,Alpha Industries,"283,833",B002G9UDYG
4,AFE6IZBDO57PWBJM2JUHA3WDBN7Q,True,Four Stars,"I'm 5'8"" 200lbs - ended up getting the X-tra Large","October 10, 2016",Amazon Customer,4.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AFE6IZBDO57PWBJM2JUHA3WDBN7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:33:24.828007,2020-09-20 21:33:24.952934,ALPHA INDUSTRIES mens Cwu Pilot X Flight Jacket Jacket,Alpha Industries,"283,833",B002G9UDYG
5,AGSN6S62QKDLN7XGTQJ23Y72EG2A,True,I am 6 ' 200 lb and my size is ...,I am 6 ' 200 lb and my size is Large but when it comes to this jacket size Medium fits perfect,"December 26, 2016",Amazon Customer,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGSN6S62QKDLN7XGTQJ23Y72EG2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:33:24.956838,2020-09-20 21:33:25.087625,ALPHA INDUSTRIES mens Cwu Pilot X Flight Jacket Jacket,Alpha Industries,"283,833",B002G9UDYG
6,AE7SSZYOT6UWUSBEJFS3K2RTRRTQ,True,Must Have,Just the best! You want a great made jacket this is the one!,"December 4, 2017",Sean B.,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AE7SSZYOT6UWUSBEJFS3K2RTRRTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:33:25.092502,2020-09-20 21:33:25.216454,ALPHA INDUSTRIES mens Cwu Pilot X Flight Jacket Jacket,Alpha Industries,"283,833",B002G9UDYG
7,AGOBJJ3QBDLV5E7AAPH4USTD5TFQ,True,Produit conforme,Veste très bien ajustée .,"January 12, 2019",pascal steffan,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGOBJJ3QBDLV5E7AAPH4USTD5TFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:33:25.220357,2020-09-20 21:33:25.342357,ALPHA INDUSTRIES mens Cwu Pilot X Flight Jacket Jacket,Alpha Industries,"283,833",B002G9UDYG
8,AHJMZPVITRJVXJYYFLR4GDUN2GSA,True,Five Stars,:),"February 10, 2017",Amazon Customer,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHJMZPVITRJVXJYYFLR4GDUN2GSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:33:25.346262,2020-09-20 21:33:25.481925,ALPHA INDUSTRIES mens Cwu Pilot X Flight Jacket Jacket,Alpha Industries,"283,833",B002G9UDYG
