,subproduct_author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id,author_id,subproduct_id
0,AFJ6PWURIMPETXZGCKDCX7VLOLRA,True,fits fine but pocket is not centre,"the product is decent enough. soft, fits well. I bought it to have my cousin screen print on it and we noticed that the pocket is about and inch and a bit off centre and kinda slanted. probably not noticable when on and moving. Im probably going to just stick to buying Haynes though from now on. Quality is ""meh""","May 12, 2020",Adam Pinsoneault,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFJ6PWURIMPETXZGCKDCX7VLOLRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:17:21.598097,2020-10-05 19:17:21.737705,Jerzees Mens Black Adult Pullover Hooded Sweatshirt,Jerzees Men's Athletic,384,B00T7U6FDK,AED3ZAL4UUPU7IQQTW5BGJCLSDFQ,B00T7U6QXY
1,AFIFHJVFNYQJBVOECZH6ZIXRXLNA,True,Best deal ever,Why pay $50 + for a name brand hoodie when this is the best,"April 10, 2020",Buzz,5.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AFIFHJVFNYQJBVOECZH6ZIXRXLNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:17:21.742585,2020-10-05 19:17:21.882152,Jerzees Mens Black Adult Pullover Hooded Sweatshirt,Jerzees Men's Athletic,384,B00T7U6FDK,AED3ZAL4UUPU7IQQTW5BGJCLSDFQ,B00T7U6QXY
2,AHXDQUOD4MVABBUG4C3QFSWRHYFQ,True,Nice fit,"I'm 5' 4"" tall, 130lbs. 36"" chest, 30"" waist, Male. Small fits and feels good with tee-shirt. Washed it and still fits good. I don't think it shrunk at all. Perfect I like this","May 4, 2020",Perry ,5.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AHXDQUOD4MVABBUG4C3QFSWRHYFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:17:21.887033,2020-10-05 19:17:22.035384,Jerzees Mens Black Adult Pullover Hooded Sweatshirt,Jerzees Men's Athletic,384,B00T7U6FDK,AED3ZAL4UUPU7IQQTW5BGJCLSDFQ,B00T7U6QXY
3,AE7U5OXACT6QQSFKSDMXZFGH2OSA,True,Arms are a little short,"This is a lot lighter than I thought it would be but fits very comfortable. Suitable for cold nights. The only problem is the length of the arms, they seem a little short for an XL, but if I went up in size the length and width would be too big.","June 12, 2019",S,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AE7U5OXACT6QQSFKSDMXZFGH2OSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:17:22.040265,2020-10-05 19:17:22.173976,Jerzees Mens Black Adult Pullover Hooded Sweatshirt,Jerzees Men's Athletic,384,B00T7U6FDK,AED3ZAL4UUPU7IQQTW5BGJCLSDFQ,B00T7U6QXY
4,AF2BL7QMAFX7YRQ4ZI6B3BHQR36A,True,Recommended!! I keep ordering different colors.,"First time I ordered, I said ok, it's not expensive and if it doesn't work I won't lose too much. I washed it back an fort and no shrinking, it looks same as the first day I got it. It's really comfortable and I love it. I've ordered Navy and one more Black. STRONGLY RECOMMENDED!!!!!","January 1, 2020",NI,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AF2BL7QMAFX7YRQ4ZI6B3BHQR36A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:17:22.178856,2020-10-05 19:17:22.311594,Jerzees Mens Black Adult Pullover Hooded Sweatshirt,Jerzees Men's Athletic,384,B00T7U6FDK,AED3ZAL4UUPU7IQQTW5BGJCLSDFQ,B00T7U6QXY
5,AED3ZAL4UUPU7IQQTW5BGJCLSDFQ,True,Nice and comfy,"Got mine on time. Its a perfect fit (L) and comfortable all over. Material is good quality, does not hang or crease easily. Had a logo screen printed and it took it quite well. Would buy again.","June 17, 2020",Ali,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AED3ZAL4UUPU7IQQTW5BGJCLSDFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:17:22.317447,2020-10-05 19:17:22.467751,Jerzees Mens Black Adult Pullover Hooded Sweatshirt,Jerzees Men's Athletic,384,B00T7U6FDK,AED3ZAL4UUPU7IQQTW5BGJCLSDFQ,B00T7U6QXY
6,AFS2S3DOU7DPJIQDRNMA7O5CJ2MQ,True,Fits pretty well,"It was a pretty perfect fit. I’m usually a men’s small but I ordered a men’s medium (thank God I did) because I wanted it to be a bit baggy. Unfortunately, it wasn’t baggy at all and fit me like a small would. So if you want a baggier hoodie, I’d recommend ordering 2 sizes up.","September 9, 2020",LJ1314,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFS2S3DOU7DPJIQDRNMA7O5CJ2MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:17:22.472631,2020-10-05 19:17:22.611223,Jerzees Mens Black Adult Pullover Hooded Sweatshirt,Jerzees Men's Athletic,384,B00T7U6FDK,AED3ZAL4UUPU7IQQTW5BGJCLSDFQ,B00T7U6QXY
7,AFJIM7CJZQTXKTDHGMVD6VQCDZUA,True,#true size #reliable #great value for price,"Its true to size! im slim fit build at 5.9 feet high, medium is P E R F E C T. If you're in the market for a comfortable hoodie, look no farther, this is what you need. l might get a new color (yeah l like it that much) if not already.","May 5, 2020",Alex,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFJIM7CJZQTXKTDHGMVD6VQCDZUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:17:22.616129,2020-10-05 19:17:22.749880,Jerzees Mens Black Adult Pullover Hooded Sweatshirt,Jerzees Men's Athletic,384,B00T7U6FDK,AED3ZAL4UUPU7IQQTW5BGJCLSDFQ,B00T7U6QXY
8,AGKJ6QTXGKGPCA64TVA5KRWINY2A,True,Awesome,"Great product super comfy. I think they may be on the smaller size for men so if you’re a dude probably order a size up. I’m a 5’2 120lbs woman, ordered a large and it’s a perfectly baggy! Definitely worth it!","March 6, 2019",Sabrina,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGKJ6QTXGKGPCA64TVA5KRWINY2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:17:22.754729,2020-10-05 19:17:22.896282,Jerzees Mens Black Adult Pullover Hooded Sweatshirt,Jerzees Men's Athletic,384,B00T7U6FDK,AED3ZAL4UUPU7IQQTW5BGJCLSDFQ,B00T7U6QXY
9,AFJVMHM3JQ2HM2FIUDNCYXK7HHGA,True,Great Hoodie!,I love the way these hoodies fit and feel. I am 5’9” and weigh 200 and the XL fits me great. Material doesn’t ball up as of yet and a great weight for the cold.,"February 15, 2020",B.Kelley,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFJVMHM3JQ2HM2FIUDNCYXK7HHGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-10-05 19:17:22.901163,2020-10-05 19:17:23.033905,Jerzees Mens Black Adult Pullover Hooded Sweatshirt,Jerzees Men's Athletic,384,B00T7U6FDK,AED3ZAL4UUPU7IQQTW5BGJCLSDFQ,B00T7U6QXY
