,author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id
0,AFL7LRZR5EI773WZDSY3XARJYTZQ,True,Are we all getting ripped off????????,"https://www.amazon.ca/dp/B00T1DCCXA/ref=cm_cr_ryp_prd_ttl_sol_0

They say on Amazon: Body Outer Layer: 65% Cotton/25% Merino Wool/10% Nylon; Inner Layer: 100% Cotton; Rib: 100% Cotton
On the Thermal Pant: 60% Cotton - 40% Polyester
:) and seems that there is only 1 layer.
Are we all getting ripped off????????","October 12, 2017",A A,1.0,26,https://www.amazon.ca/gp/profile/amzn1.account.AFL7LRZR5EI773WZDSY3XARJYTZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:34:11.026679,2020-09-20 21:34:11.191623,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
1,AGTX7SXS5NJGAVPVNX5DQCOZMQXQ,True,Highly disappointed.,"description of the item is : Body Outer Layer: 65% Cotton/25% Merino Wool/10% Nylon; Inner Layer: 100% Cotton; Rib: 100% Cotton
When they arrived the label of the pants say 60%cotton and 40% polyester, no merino wool or nylon. Highly disappointed.","October 23, 2017",skygiu,1.0,24,https://www.amazon.ca/gp/profile/amzn1.account.AGTX7SXS5NJGAVPVNX5DQCOZMQXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:34:11.196502,2020-09-20 21:34:11.338021,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
2,AHNSYHGNZ6C7WYFVCTFNF6AND2GQ,True,These are now his favorite pair.,"Purchased these for my father as a Christmas gift, he lives in a small town and he couldn't find his size in stock at the local shops. He always wore the honeycomb white thermal ones but I could not find those online in his size at this time of year either so took a chance on these (even though at his age he is NOT big on change). These are now his favorite pair; he said they are very comfortable and warm (he lives in Northern Ontario). They fit like a glove under his clothing without shifting or bunching up. He's happy so I'm happy :)","January 12, 2018",Artisan Tracy,5.0,13,https://www.amazon.ca/gp/profile/amzn1.account.AHNSYHGNZ6C7WYFVCTFNF6AND2GQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:34:11.343878,2020-09-20 21:34:11.486373,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
3,AF73AWEO4NG2DPR7FB3O4VBK5THA,True,"Great, but may need different size.","There are some detailed reviews so I'll keep mine short and sweet.
They seemed to have changed the product, it no longer claims to be what it's not.
So yeah its a cotton and poly mix, nothing wron with that I have worn standfields 50/50 mix at -50 for 12 years working northern oil patch.
Feels good alot better then the all cotton ones, feels thicker than the standfields but not bulky.
the fit is off for me personally but I am tall (6'6 and fit 220lb) so I'm returning them and trying one size up, fit snug so if your chunky and short you may want something not so tight.
All in all I would recommend this product just as always with cloths sizing can be so difficult","October 12, 2019",Nicky,4.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AF73AWEO4NG2DPR7FB3O4VBK5THA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:34:11.499061,2020-09-20 21:34:11.642536,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
4,AGZIKLRE7KA6TUKSDTCJADN3EDXA,True,"The Fit is definitely Smaller and rather ODD! (sort of ""hanging"" with unnecessary room in our trunk)","ok, here is a quick review after I had a chance to use these over the course of 3 weekends when we went to the mountains snowshoeing etc. The fit is definitely OFF ... I usually wear pants size 32x32. Bought these in size ""M"" and: A) they are on a shorter site to begin with, and B) the upper area is very unusual…. it’s sort of ""deep"" so if you were to wear them like any standard-sized shorts, pants, etc. these sort of hang with unnecessary empty space in between. (If you were to pull them up i.e. to make them fit better, then you’d end up having them above your belly button!!) No idea what standards (if any) were followed when these were designed. Perhaps they were made for a completely different market –which was not disclosed to buyers?! Lastly, C) they were washed in COLD water by hand, and hang-dried, yet I can report that they shrank a bit. I wish I wore them more and washed them within the return period, in which case they’d definitely go back. The material itself feels good / warm.","February 25, 2019",A. D.,1.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AGZIKLRE7KA6TUKSDTCJADN3EDXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:34:11.646436,2020-09-20 21:34:11.779197,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
5,AHSQVGA372IFYUGPVPP6PGFCIXGA,True,These things are really comfortable. I've only just received them and I've been ...,"These things are really comfortable. I've only just received them and I've been wearing them since I opened the package without even washing them.

I don't like the thought of wearing them without underwear underneath so I haven't, but that doesn't effect any comfort levels that I can tell.

It's a cool Autumn day outside and I've been walking around out there without getting chilly. If they had pockets and without the fly, they'd pretty much be pants.

I usually wear sweats underneath my coveralls in the winter, but I see these being a lot better and more comfortable. The only problem I see is wearing these out before I need them.","September 29, 2017",Bhole,5.0,4,https://www.amazon.ca/gp/profile/amzn1.account.AHSQVGA372IFYUGPVPP6PGFCIXGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:34:11.783076,2020-09-20 21:34:11.927524,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
6,AEFGV73YDBWPJYF2GGKQFDHQXMFA,True,Not great - very stiff,"Looking at their size chart, I initially bought the small. However, after trying it on, I ended up exchanging it for the medium because I felt it was restricting my movement. I gave the medium a try and here's what I thought:
Pros: warm material, fits reasonably well around the waist
Con: the biggest drawback for this product was the stiffness of the material. I tried it under dress pants, jeans and sweatpants, and what bothered me was that my movement was more restricted by this baselayer than by any of my pants. I really don't think a baselayer should be more stiff and movement-limiting than jeans or dress pants.
I ended up finding cheaper, equally warm, yet much more comfortable baselayer pants at Winners.
For that reason I ended up returning this product. I would not recommend it.","February 9, 2019",Marc D.,3.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AEFGV73YDBWPJYF2GGKQFDHQXMFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:34:11.932404,2020-09-20 21:34:12.068068,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
7,AGBZROTL5HGZY5ZM4TAQA7IWO2UQ,True,Keeps you warm in very cold temps,Wore these today for work where I have to go outside for periods and inside where it gets cold as well. They kept my legs nice and warm even as the temperature fell below -12 C. Great buy for the money and I plan to buy more of the same brand. I highly recommend these thermals especially if you need to spend long periods outdoors in cold climates.,"December 14, 2017",gojays_1,5.0,3,https://www.amazon.ca/gp/profile/amzn1.account.AGBZROTL5HGZY5ZM4TAQA7IWO2UQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:34:12.072948,2020-09-20 21:34:12.208612,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
8,AGNTKCRCC4I2KCHQQ5AUL2PBN2OQ,True,It feels awesome!,"The cuffs on the legs are tight enough to prevents dragging if they happen to be too long, but loose enough to not feel it. Not only can these be used as underwear in colder weather because of how well they hold heat, they are nice as pajamas for lounging around. The fabric also feels so nice. I'll be sad to take these off when I have to wash them. Exactly what I was hoping for and more!","October 20, 2018",Jacob,5.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AGNTKCRCC4I2KCHQQ5AUL2PBN2OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:34:12.213492,2020-09-20 21:34:12.362820,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
9,AGSDSIYJQDI667XA5JFS3QAJY26A,True,a good thermal baselayer for a good price,"I ordered 2 small sized pairs. Both fit exactly as stated. The waistband has a bit of give so one's waist is not completely squished. The legs itself are more compressed to give a closer fit than a looser fit (ie: I imagine that a looser fit in the legs means getting 1 size up). Aside from that, these baselayer pants do the job in keeping me warm down to -10 C weather (w/o overheating. Not quite sure how well they'll hold up whenever the temperature drops even lower). So far, all in all, a good thermal baselayer for a good price.","November 25, 2017",Lito A.,4.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AGSDSIYJQDI667XA5JFS3QAJY26A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-20 21:34:12.367721,2020-09-20 21:34:12.502386,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
10,AEA5FEQDBSIAM5QBLPN32JBRFDQA,True,Good thermal pants,"The material is thin but keeps me warm. In 0 degree Celsius I wear these under my jeans and I am warm to walk to work (20 minute walk). I wouldn't want to have to stand outside a long time with just these under my jeans in below freezing weather, but they are good if you will be active. I like that they are thin and that they never feel sweaty or moist. In 17 degree below 0 weather I need another layer over them or I would be too cold. I am 5'9"" and 150 lbs (69 kg) and the size medium fits great.","January 11, 2019",Theodore Gemmer,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEA5FEQDBSIAM5QBLPN32JBRFDQA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-20 21:34:17.677333,2020-09-20 21:34:17.830563,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
11,AEQGXBLCSNBXQR7BB5RUHVT4DLVQ,True,Best Johns Ever!,"My boyfriend loves these Johns. He says these are his favourite, they're nicely insulating, they're comfortable, and they're good quality. They keep him warm during the cold winter days in Toronto. He would definitely buy a million pairs of these if he could.","January 30, 2016",Amazon Customer,5.0,5,https://www.amazon.ca/gp/profile/amzn1.account.AEQGXBLCSNBXQR7BB5RUHVT4DLVQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-20 21:34:17.834466,2020-09-20 21:34:17.979890,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
12,AFCLNWOOZLWQIPWETQSZRQZ6ZFHA,True,and it seems to do a good job so far,"It's a lot thinner than I expected, but its performance in the cold weather remains to be seen. I plan on wearing it against the Canadian winters, and it seems to do a good job so far.

Edit: Works as described in -15 C weather so far.. Looks like the winter will be a little more warmer outside with this.","September 30, 2016",Dylan,5.0,7,https://www.amazon.ca/gp/profile/amzn1.account.AFCLNWOOZLWQIPWETQSZRQZ6ZFHA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-20 21:34:17.985778,2020-09-20 21:34:18.113638,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
13,AFVS5CL6ODTHHV23LOQKKRQZRNWA,True,LOVE,"Great long johns! I got my husband (size 38/40×30, XL top) these pants and matching shirt in a size Large as per the size chart. It fits him perfectly and looks great as a set! I love it. Soft, comfy, warm. He loves them and wears them every single day unless he's staying in. I need another 2 sets lol. Great buy, fast shipping. Great price and great quality!","January 6, 2019",anxietyjane,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFVS5CL6ODTHHV23LOQKKRQZRNWA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-20 21:34:18.117541,2020-09-20 21:34:18.243445,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
14,AE52WKVTDHJQQXAFJG2DJBBTTXTQ,True,Long Johns and no alterations.,"Hard to find nice fitting long johns for a 6'8"" guy. Usually I need to cut the bottom cuffs off because they are too tight on my calves because they are too short on the long legs, but these work really great. No alterations needed. Great buy for this tall guy.","December 2, 2016",2tallplm,5.0,5,https://www.amazon.ca/gp/profile/amzn1.account.AE52WKVTDHJQQXAFJG2DJBBTTXTQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-20 21:34:18.248351,2020-09-20 21:34:18.392809,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
15,AG52MFDOBGOZHE57HTUKC6P6BSMQ,True,AMAZING,"I love these, I've bought 4. I live in southern Ontario and it gets dummy cold up here, these make it so much more bearable, I sometimes don't even turn on the heating in my car because I'm so cosy. These really should get 4.5 stars, the only thing is that they stretch around my fat calves after a couple of wears and I have to wait to wash and dry them again so they fit snug again. Other than that I would totally recommend these bad boys I really love them, they fit great and they're at a very good price point. I've seen some of the same quality at Mark's for $50! No thanks.","December 25, 2019",Jean Paul Garrido-Lecca,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AG52MFDOBGOZHE57HTUKC6P6BSMQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-20 21:34:18.396713,2020-09-20 21:34:18.523592,Duofold Men's Mid Weight Wicking Thermal Pant,No,977,B002G9UDYG
