,id,date_review_posted,review_title,review,verified_purchase,people_find_helpful,ratings,product_url,start,end,author,product_category,product_id
0,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"August 7, 2020",À éviter comme achat,Absolument pas un portable léger - très très difficile à opérer - clavier difficile à utiliser pour un francophone,yes,2,1.0,https://www.amazon.ca/VivoBook-Touchscreen-Processor-Fingerprint-J401MA-AB01-CA/dp/B087Z58PY5/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 07:58:16.098225,2020-09-16 07:58:22.525674,Daniel Bourque,Electronics,B087Z58PY5
1,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"October 20, 2019",Très bon film,Excellent achat,yes,0,5.0,https://www.amazon.ca/Aladdin-Blu-ray-DVD-Digital-Bilingual/dp/B07SBL28PT/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 07:58:32.636005,2020-09-16 07:58:39.015438,Daniel Bourque,Electronics,B087Z58PY5
2,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"October 20, 2019",Boof ! rien d'extraordinaire,Bon film allemand ( Suisse ) mais fini en queue de poisson,yes,0,3.0,https://www.amazon.ca/Mario-DVD/dp/B07B5W1T3S/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 07:58:49.120543,2020-09-16 07:58:55.519587,Daniel Bourque,Electronics,B087Z58PY5
3,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"October 19, 2019",Bon achat,Bon achat,yes,0,5.0,https://www.amazon.ca/Rent-Blu-ray-Bilingual-Anthony-Rapp/dp/B000WTLDNM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 07:59:03.621550,2020-09-16 07:59:10.011101,Daniel Bourque,Electronics,B087Z58PY5
4,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"October 19, 2019",Bon achat,Petit mais fonctionne très bien,yes,0,4.0,https://www.amazon.ca/Baoblaze-Outdoor-Camping-Fireplace-Barbecue/dp/B07M7WGHYB/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 07:59:20.118949,2020-09-16 07:59:27.461488,Daniel Bourque,Electronics,B087Z58PY5
5,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"October 19, 2019",Très bon achat,Excellent vidéo,yes,0,5.0,https://www.amazon.ca/De-Lovely-Bd-Ws-Cb-Sm-Blu-ray/dp/B004O0U250/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 07:59:36.570749,2020-09-16 07:59:43.989339,Daniel Bourque,Electronics,B087Z58PY5
6,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"October 19, 2019",Achat à éviter - lire mes commentaires,"Cette friteuse est très lourde et se manipule difficilement. La cuisson de frites donne des résultats très médiocre - cuit à l'extérieur, mou ( non cuit ) à l'intérieur. Le réglage de température se trouve au fond complètement donc vous avez bien des chances de vous brûler par la vapeur qui se dégage -",yes,One,1.0,https://www.amazon.ca/T-fal-FR800051-Ultimate-Clean-Fryer/dp/B00QC2XBYM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 07:59:51.098395,2020-09-16 07:59:59.527955,Daniel Bourque,Electronics,B087Z58PY5
7,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"October 17, 2019",DVD format européen,"Avertissement : ce DVD est de région 2 - format non compatible avec la plus part des lecteurs DVD d'Amérique du Nord - Cette avertissement devrait faire parti des données techniques du produit. Cet avertissement devrait être inclus « RÉGION 2 : Il sera impossible de lire ce film sur la plupart des lecteurs DVD vendus aux États-Unis dans les territoires américains, au Canada, au Bermudes »",yes,0,1.0,https://www.amazon.ca/Aristocrats-Import-anglais/dp/B0010VED9M/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:00:08.639302,2020-09-16 08:00:16.055195,Daniel Bourque,Electronics,B087Z58PY5
8,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"October 13, 2019",Perte d'argent - impossible à annuler,Grosse perte d'argent - semble impossible à annuler,no,0,1.0,https://www.amazon.ca/Gold-Membership/dp/B0757CNHCM/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:00:24.159075,2020-09-16 08:00:31.554752,Daniel Bourque,Electronics,B087Z58PY5
9,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"April 23, 2019",Worst possible item to buy,That pipe is a ver very very small one - using it you will burn your lips - DON'T buy it,yes,0,1.0,https://www.amazon.ca/Superior-ebony-tobacco-pipe-smoking/dp/B01M0Q6LNF/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:00:41.662355,2020-09-16 08:00:48.048321,Daniel Bourque,Electronics,B087Z58PY5
10,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"December 21, 2018",Bon mais beaucoup de violence,Film assez bien fait mais beaucoup de violence gratuite,yes,0,4.0,https://www.amazon.ca/Beauty-Deon-Lotz/dp/B007IV4ODS/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:00:55.151276,2020-09-16 08:01:01.526024,Daniel Bourque,Electronics,B087Z58PY5
11,AEW4DSKMQQ3HTFNF2LKTR5KTZZOQ,"December 1, 2018",À éviter,Produit défectueux de très mauvaise qualité - politique de retour archaïque,yes,0,1.0,https://www.amazon.ca/Mine-Vaganti-Pasquale-Catalano/dp/B00416YSQG/ref=cm_cr_srp_d_product_top?ie=UTF8,2020-09-16 08:01:10.628679,2020-09-16 08:01:20.044231,Daniel Bourque,Electronics,B087Z58PY5
